BOKU_1,BOKU_2
973.27340,904.78920
36.70472,32.70916
77.68652,132.12310
215.83120,207.74860
3169.94000,3207.83000
3.06697,2.21701
352.10000,311.12100
22.33847,4.43034
28.16086,35.52219
170.29730,214.68820
64.76567,9.76474
4.84672,28.22115
2.42227,7.52361
34.19549,50.46409
188.24390,193.59480
44.12465,4.50650
7.72629,7.84387
1.71877,21.04791
1.00000,18.86071
2.06096,37.70517
100.51410,117.48370
9.63209,4.29820
245.02020,244.06390
55.99570,39.82953
12.23504,10.79758
9.32279,6.01092
714.17590,672.99730
106.33050,73.18123
50.37256,624.07760
25.94388,54.42144
155.82880,169.16150
345.86330,432.51190
1267.60000,1119.40000
4.20661,6.72511
32.41765,48.70827
94.66127,28.57189
189.41300,171.38380
683.44210,677.14650
129.80570,103.55460
9.34037,27.77426
3.83710,31.50195
99.87674,64.75969
604.57820,437.66080
31.38586,40.84439
48.03535,4.70883
2205.73000,2338.67000
4.10838,2.44058
643.77550,557.57300
1483.88000,1496.30000
101.79930,69.49960
43.55225,47.00155
63.47177,70.46494
88.43540,111.02970
2.78074,10.18684
82.68886,99.30512
20.62139,8.75340
6.22400,22.47905
16.33031,5.60125
19.65879,25.02026
6.81200,32.09916
14.93831,3.21244
4.83129,2.06930
32.86944,40.56663
2.31497,1.00000
24.47266,1.93471
1592.51000,2013.96000
4.75471,7.43759
45.37618,7.88018
4.84805,12.42478
94.39719,72.47025
401.86280,269.53560
8.30903,48.43033
1601.00000,1657.72000
5.84090,4.44579
65.48594,61.26429
72.44976,87.48840
36.48003,13.91417
2544.18000,2587.83000
1004.04000,1189.64000
52.07177,59.60289
85.95259,134.88410
59.25021,57.81467
11.82396,28.29799
1.48577,20.67826
16.52751,2.03623
6.63987,2.96580
13.63903,6.64391
224.15200,383.45190
182.04570,172.51810
87.64365,80.51863
6.17942,6.36770
71.52338,35.63007
230.43670,249.90130
5.71225,1.83981
10.33271,7.50056
8.94154,21.95736
21315.00000,21506.40000
3634.79000,3823.55000
24.15087,28.84738
149.22110,74.93940
473.59240,368.00500
107.73740,116.96880
113.70520,75.78619
1255.86000,1332.83000
2.59344,2.30133
34.46191,6.09372
1.00000,2.41885
127.80990,100.46790
19.77070,18.11788
25.90080,36.57400
272.08510,150.74780
4.48107,1.39920
15.90384,60.16633
47.31110,34.33414
7.05952,27.26292
20.39261,25.39852
28.65074,63.91283
2368.32000,2694.29000
52.39660,50.18802
18.44607,22.55905
191.73790,170.89430
1018.36000,926.11110
15.01683,38.15697
121.28650,145.64110
3353.99000,3388.47000
3.94539,4.21888
5.35157,20.08457
2297.99000,2214.91000
1.71390,14.27826
31.06526,17.11470
302.37130,260.11730
85.61389,117.80880
796.00130,1106.32000
30.56324,29.62702
21.04334,1.63421
4.83502,5.12323
28.73819,34.97647
149.68230,176.16220
11.37387,4.37866
449.15380,498.00280
55.36980,105.29160
4.38715,18.33038
2.53068,5.86181
46.90899,15.76436
7.07283,17.65530
30.04479,18.54235
102.00140,46.35098
5.80774,15.65605
61.36324,97.50207
43.37893,72.16433
900.79480,799.90640
278.91440,311.66750
12.72726,3.43335
98.18135,126.23570
36.52174,35.92460
181.58210,191.14610
271.14340,268.47070
1264.33000,1267.58000
8.80216,10.38554
107.57970,82.64737
2.76982,12.57364
5153.24000,5295.30000
1533.70000,1433.21000
70.48675,114.35370
4359.84000,3685.80000
1.00000,1.49923
112.93650,86.90330
3.87902,2.90990
13.27059,7.78325
108.61580,135.41210
17.78962,29.12528
53.62028,89.74757
21.56580,22.20059
359.55470,343.58550
73.57241,75.06397
15.15314,5.21240
190.28270,320.72200
3.77200,4.69226
64.86460,86.86143
6.21502,6.03790
219.14760,156.83330
1396.99000,1347.11000
31.07657,60.74857
2.49727,11.25531
34.29828,8.07317
2.28244,7.32783
715.84250,943.00750
22.12851,8.04700
5.84811,2.67913
1456.84000,1509.08000
90.91598,126.03770
12.84585,61.61587
53.03526,79.07695
655.07370,661.62600
53.37195,45.68328
31074.40000,37931.71000
610.79320,605.96980
25.23163,52.40163
777.03560,828.18460
178.01050,190.25010
3602.71000,3842.90000
26.82172,13.75645
32.76337,49.52073
56.70485,70.23100
1077.67000,1109.01000
2436.37000,2979.58000
71.12759,123.83750
79.54969,56.64233
13.75964,3.95041
402.34580,404.78710
405.47660,669.44540
30.86499,149.53080
10.09080,11.09092
13.55102,11.10112
31.80922,17.63007
71.49405,41.84417
788.71250,690.72240
201.29280,223.45660
36.85839,11.78065
140.43790,52.57273
9.10614,8.50362
578.30760,601.24400
3.23607,3.79266
288.87730,379.30050
5.60747,13.61203
29.96027,29.25809
909.99970,1010.72000
185.88650,210.24260
42.98993,16.14142
54.80949,14.85347
616.31200,644.75420
36.09733,24.61293
7.92373,104.93000
132.84650,178.44430
436.92170,445.71550
32.66452,23.18728
3.77952,5.21162
32.79893,58.06688
11591.84000,12809.34000
13.01027,26.95899
41.76792,21.16148
221.98850,288.44010
329.93220,291.00200
903.70290,867.79100
82.04342,16.29101
365.22420,407.90700
17154.53000,18409.30000
685.22820,746.39060
6.44482,4.91226
441.37890,492.76160
