"BOKU_1","BOKU_2","BOKU_3","BOKU_4","SKG-I_1","SKG-I_2","SKG-I_3","SKG-I_4"
"973.2734","904.7892","1062.5400","871.7372","615.4475","563.6716","480.2325","512.4628"
"36.7047","32.7092","37.7893","39.4988","21.8409","22.6562","1.5251","16.4112"
"77.6865","132.1231","102.0729","117.4326","3351.71","3202.06","4475.44","4565.81"
"215.8312","207.7486","182.7323","219.6356","378.9288","365.6907","281.6856","179.5644"
"3169.94","3207.83","2033.46","2506.32","4321.56","4719.31","3435.83","3334.17"
"3.0670","2.2170","1.0000","29.5140","4.7617","2.0672","16.2424","2.7312"
"352.1000","311.1210","285.6190","308.7430","46.7602","42.1183","73.4788","76.0300"
"22.3385","4.4303","13.2618","10.1776","25.8648","2.1251","3.4091","3.7303"
"28.1609","35.5222","63.7801","69.7007","66.1835","61.6388","23.7402","37.2587"
"170.2973","214.6882","322.1040","332.7042","460.8330","372.5509","593.6749","530.4465"
"64.7657","9.7647","9.7414","38.4191","7.8854","3.1212","72.3343","29.7847"
"4.8467","28.2212","18.2117","16.9041","70.2861","78.0114","46.3906","69.4495"
"2.4223","7.5236","32.4900","7.2816","17.7062","24.6654","9.9581","3.8456"
"34.1955","50.4641","42.2938","31.2785","37.6098","47.2117","77.8378","67.4072"
"188.2439","193.5948","203.7614","185.1583","336.8918","288.9953","265.3213","275.1865"
"44.1247","4.5065","3.4177","19.5514","12.2876","22.4607","34.6257","15.6892"
"7.7263","7.8439","1.2988","3.5911","5.7277","1.0000","2.5152","1.0000"
"1.7188","21.0479","17.4071","30.0751","2.2391","3.4438","6.5160","10.5787"
"1.0000","18.8607","1.0422","1.0000","5.2412","1.0856","22.8933","2.6189"
"2.0610","37.7052","54.9776","24.0852","3.6100","1.8730","30.6464","14.3941"
"100.5141","117.4837","74.6786","117.1966","411.3488","277.6090","196.6423","234.9546"
"9.6321","4.2982","1.6272","2.6606","1.8001","4.1432","2.3329","4.1778"
"245.0202","244.0639","274.6678","282.1786","339.2186","319.6725","434.3623","401.5476"
"55.9957","39.8295","4.9555","47.0232","80.9344","84.3228","96.1906","88.2285"
"12.2350","10.7976","12.7226","8.2239","9.9448","11.3300","7.9303","43.2856"
"9.3228","6.0109","3.4444","20.9563","10.3657","40.1684","41.5986","42.3846"
"714.1759","672.9973","682.6890","674.1312","736.3417","691.7574","460.8363","547.7916"
"106.3305","73.1812","106.2023","130.9820","51.5825","37.9712","59.3667","60.5845"
"50.3726","624.0776","339.3789","53.8356","51.1242","29.8501","44.4965","96.2862"
"25.9439","54.4214","26.4661","36.9766","47.4540","42.0050","56.0412","54.9717"
"155.8288","169.1615","182.2059","244.6060","121.1874","97.3031","180.0664","194.1888"
"345.8633","432.5119","277.1782","269.8332","913.3171","914.0579","656.4686","647.7966"
"1267.6000","1119.4000","1351.0200","1421.8000","1303.8900","1514.5700","1537.0100","1785.7100"
"4.2066","6.7251","4.0341","1.9197","2.7218","6.1738","5.3453","3.1908"
"32.4177","48.7083","94.8932","82.9179","35.2218","21.0141","22.6241","58.3032"
"94.6613","28.5719","37.0413","131.2130","101.4935","113.7412","141.1815","138.9137"
"189.4130","171.3838","291.0947","268.9240","244.4445","189.5517","188.5399","166.1687"
"683.4421","677.1465","842.8818","1034.5200","1007.1000","801.2877","1106.2300","819.7036"
"129.8057","103.5546","163.1931","106.9923","163.0551","176.3222","137.3053","199.7714"
"9.3404","27.7743","8.8509","39.0163","21.4797","25.4022","7.9405","2.3245"
"3.8371","31.5020","3.9364","3.7079","5.7851","13.7355","36.4975","11.2658"
"99.8767","64.7597","60.6957","54.3967","47.0443","11.9188","62.6183","95.8160"
"604.5782","437.6608","535.3648","422.5987","768.0645","536.2395","603.7155","435.1998"
"31.3859","40.8444","3.1528","43.2002","24.4990","4.6672","8.4416","3.7671"
"48.0354","4.7088","9.1789","92.4189","13.3524","42.0921","34.8444","50.4243"
"2205.73","2338.67","1540.48","1679.98","1218.99","1253.21","825.9381","852.2669"
"4.1084","2.4406","1.0373","2.7476","1.8243","2.8696","2.1143","3.7329"
"643.7755","557.5730","559.2474","482.9022","1229.72","1253.32","1323.87","1474.67"
"1483.88","1496.30","1645.79","1598.12","1323.17","1326.87","1249.69","1262.82"
"101.7993","69.4996","144.6289","103.5801","87.6121","83.2938","131.1889","89.2802"
"43.5523","47.0016","26.0397","35.0776","28.4883","9.4805","7.0671","8.7364"
"63.4718","70.4649","72.5254","75.1314","78.0536","94.2895","105.7223","140.8694"
"88.4354","111.0297","85.5609","96.1010","83.9635","54.6423","48.1976","75.7810"
"2.7807","10.1868","12.6911","7.5733","8.5010","20.4278","3.2153","4.2692"
"82.6889","99.3051","359.8720","350.9298","68.5520","105.0802","316.6467","227.3088"
"20.6214","8.7534","25.9267","29.4928","6.0095","20.0638","2.1641","1.8124"
"6.2240","22.4791","23.5984","2.1181","2.7052","16.7758","30.6458","4.1948"
"16.3303","5.6013","3.5135","35.9788","12.1105","4.7761","16.1842","3.3364"
"19.6588","25.0203","6.1223","18.8950","117.7025","106.7314","80.3308","96.3741"
"6.8120","32.0992","4.0891","34.7957","38.8039","41.0538","34.4160","33.3336"
"14.9383","3.2124","27.0472","5.5094","24.9299","5.6078","12.1075","19.4912"
"4.8313","2.0693","5.0723","2.3077","26.0865","4.6994","6.1498","2.6769"
"32.8694","40.5666","37.2766","27.9073","48.1629","10.2393","8.7676","26.3496"
"2.3150","1.0000","2.1541","4.9716","1.9676","4.5500","2.3865","1.1374"
"24.4727","1.9347","2.1369","12.8379","12.4575","8.4966","21.4508","2.1487"
"1592.51","2013.96","818.2317","1022.27","3305.55","3163.46","1352.66","1446.26"
"4.7547","7.4376","3.6547","5.2082","74.9135","44.4476","87.5286","33.4592"
"45.3762","7.8802","12.7941","6.7133","6.1621","52.8777","4.9722","5.3652"
"4.8480","12.4248","5.3263","4.0098","4.5187","11.5088","54.3538","13.9456"
"94.3972","72.4702","171.5108","190.4410","376.2034","291.6863","465.8792","425.4643"
"401.8628","269.5356","405.0236","366.2961","430.3872","461.8350","547.8051","561.4770"
"8.3090","48.4303","94.3266","67.4297","15.0425","24.4777","63.3105","26.6986"
"1601.0000","1657.7200","2060.6200","1933.4200","841.9045","881.0612","1884.9600","1987.6800"
"5.8409","4.4458","25.5679","5.9292","711.7534","784.7805","392.0785","344.0281"
"65.4859","61.2643","29.5149","30.7704","94.6994","145.5490","61.4013","88.0456"
"72.4498","87.4884","41.3701","62.1553","98.2443","132.3867","49.2341","51.4736"
"36.4800","13.9142","29.0531","36.3655","23.3061","43.7754","11.1249","5.4942"
"2544.18","2587.83","3207.3","3246.5","1900.3","1590.8","2362.2","2497.2"
"1004.04","1189.64","991.1462","1172.49","1167.98","1188.31","1011.54","995.9163"
"52.0718","0.0000","118.3226","86.3837","510.7826","572.9654","321.4000","378.8150"
"85.9526","134.8841","8.5174","11.7823","53.5422","15.9446","6.5265","5.4372"
"59.2502","57.8147","53.3981","55.5432","47.4108","31.2563","85.4997","78.1148"
"11.8240","28.2980","19.9949","9.7123","14.1508","20.2388","25.2327","17.3800"
"1.4858","20.6783","1.0000","1.7650","22.4048","9.1174","5.2553","1.7260"
"16.5275","2.0362","23.2668","12.5673","1.8833","11.7802","15.0431","19.6667"
"6.6399","2.9658","4.7390","3.8489","8.1953","6.6830","19.6136","15.8425"
"13.6390","6.6439","3.0626","3.4187","6.7764","42.1864","3.9160","5.3688"
"224.1520","383.4519","178.3608","289.9984","234.2314","200.3356","138.0668","99.9631"
"182.0457","172.5181","188.7538","251.7040","99.6361","150.0716","97.1447","115.2972"
"87.6436","80.5186","112.6278","132.2608","210.0738","126.2613","148.2394","76.1159"
